"A","pass","math_test","math","activity_score","activity","school"
655,1,59.22,0.922,4,0.043,9
656,1,37.53,-1.247,3,-0.254,9
657,1,66.44,1.644,3,-0.894,9
658,0,43.02,-0.698,3,-0.81,9
659,1,49.79,-0.021,3,-0.011,9
660,1,45.42,-0.458,2,-1.676,9
661,1,34.4,-1.56,4,0.548,9
662,1,48.71,-0.129,4,0.721,9
663,1,54.94,0.494,3,-0.157,9
664,1,34.2,-1.58,3,-0.759,9
665,0,34.32,-1.568,4,0.295,9
666,1,55.98,0.598,3,-0.211,9
667,1,50.69,0.069,4,0.462,9
668,1,63.71,1.371,4,0.215,9
669,1,46.58,-0.342,3,-0.914,9
670,1,62.33,1.233,3,-0.924,9
671,1,35.67,-1.433,3,-0.701,9
672,1,57.480000000000004,0.748,3,-0.078,9
673,0,55.25,0.525,4,0.033,9
674,1,63.83,1.383,4,0.7,9
675,1,64.36,1.436,5,1.907,9
676,1,47.38,-0.262,4,0.858,9
677,1,41.61,-0.839,4,0.425,9
678,1,51.68,0.168,4,0.867,9
679,1,24.91,-2.509,4,0.616,9
680,1,57.15,0.715,3,-0.334,9
681,1,68.71000000000001,1.871,3,-0.111,9
682,1,60.68,1.068,4,0.148,9
683,1,47.19,-0.281,4,0.424,9
684,1,39.269999999999996,-1.073,3,-0.318,9
685,1,50.16,0.016,4,0.1,9
686,1,47.269999999999996,-0.273,4,0.641,9
687,1,66.33,1.633,5,1.129,9
688,1,49.0,-0.1,4,0.746,9
689,1,47.5,-0.25,4,0.864,9
690,1,53.75,0.375,6,2.099,9
691,1,44.84,-0.516,4,0.375,9
692,1,50.11,0.011,4,0.694,9
693,1,51.05,0.105,3,-0.686,9
694,1,34.41,-1.559,3,-0.648,9
695,1,62.81,1.281,4,0.133,9
696,1,48.54,-0.146,4,0.056,9
697,1,32.760000000000005,-1.724,4,0.06,9
698,1,35.99,-1.401,3,-0.218,9
699,1,59.39,0.939,4,0.96,9
700,1,60.96,1.096,3,-0.889,9
701,1,48.52,-0.148,3,-0.476,9
702,1,49.99,-0.001,4,0.082,9
703,0,42.42,-0.758,5,1.139,9
704,1,40.01,-0.999,3,-0.321,9
705,1,49.06,-0.094,2,-1.07,9
706,0,40.4,-0.96,5,1.188,9
707,1,67.93,1.793,4,0.439,10
708,0,47.75,-0.225,4,0.113,10
709,0,62.94,1.294,3,-0.825,10
710,1,52.12,0.212,5,1.796,10
711,0,44.46,-0.554,2,-1.368,10
712,0,56.69,0.669,4,0.759,10
713,1,53.82,0.382,4,0.958,10
714,0,35.489999999999995,-1.451,4,0.852,10
715,0,34.55,-1.545,2,-1.133,10
716,0,59.86,0.986,4,0.543,10
717,0,57.04,0.704,3,-0.486,10
718,1,66.94,1.694,4,0.323,10
719,0,59.879999999999995,0.988,3,-0.324,10
720,0,45.7,-0.43,4,0.55,10
721,0,54.01,0.401,3,-0.199,10
722,1,55.019999999999996,0.502,3,-0.131,10
723,0,60.22,1.022,4,0.44,10
724,0,36.21,-1.379,4,0.575,10
725,0,36.06,-1.394,4,0.452,10
726,0,33.629999999999995,-1.637,3,-0.556,10
727,0,43.44,-0.656,3,-0.253,10
728,0,29.93,-2.007,5,1.796,10
729,0,45.519999999999996,-0.448,3,-0.494,10
730,0,33.18,-1.682,5,1.607,10
731,0,52.42,0.242,3,-0.862,10
732,0,54.58,0.458,3,-0.898,10
733,1,52.27,0.227,4,0.295,10
734,0,60.37,1.037,5,1.407,10
735,0,34.230000000000004,-1.577,2,-1.123,10
736,0,63.49,1.349,3,-0.84,10
737,0,45.66,-0.434,2,-1.032,10
738,0,44.13,-0.587,5,1.893,10
739,0,57.26,0.726,4,0.64,10
740,1,40.68,-0.932,4,0.726,10
741,0,61.8,1.18,3,-0.392,10
742,0,32.019999999999996,-1.798,2,-1.294,10
743,0,46.79,-0.321,3,-0.548,10
744,0,48.87,-0.113,4,0.762,10
745,1,50.34,0.034,5,1.121,10
746,0,40.42,-0.958,4,0.97,10
747,1,52.97,0.297,3,-0.445,10
748,1,38.99,-1.101,3,-0.405,10
749,0,52.99,0.299,4,0.578,10
750,0,50.17,0.017,5,1.2,10
751,0,53.44,0.344,2,-1.904,10
752,0,56.0,0.6,3,-0.05,10
753,0,53.56,0.356,1,-2.315,10
754,0,40.55,-0.945,3,-0.372,10
755,0,29.07,-2.093,4,0.066,10
756,0,44.54,-0.546,2,-1.017,10
757,0,31.619999999999997,-1.838,3,-0.468,10
758,0,57.1,0.71,3,-0.12,10
759,0,58.129999999999995,0.813,3,-0.99,10
760,0,45.09,-0.491,2,-1.42,10
761,0,46.86,-0.314,3,-0.93,10
762,0,41.43,-0.857,3,-0.069,10
763,0,45.66,-0.434,4,0.069,10
764,1,45.12,-0.488,5,1.828,10
765,0,41.59,-0.841,3,-0.516,10
766,1,58.56,0.856,4,0.611,11
767,0,53.03,0.303,4,0.427,11
768,1,60.519999999999996,1.052,3,-0.398,11
769,1,52.51,0.251,3,-0.642,11
770,0,45.29,-0.471,4,0.495,11
771,1,38.44,-1.156,3,-0.81,11
772,0,38.34,-1.166,7,3.586,11
773,1,54.79,0.479,4,0.87,11
774,1,39.32,-1.068,4,0.458,11
775,1,67.16,1.716,3,-0.201,11
776,1,64.76,1.476,2,-1.582,11
777,1,48.43,-0.157,3,-0.97,11
778,1,63.76,1.376,4,0.624,11
779,0,31.79,-1.821,2,-1.077,11
780,1,64.18,1.418,3,-0.206,11
781,0,39.55,-1.045,4,0.231,11
782,1,51.88,0.188,2,-1.889,11
783,1,40.76,-0.924,3,-0.284,11
784,0,41.6,-0.84,3,-0.616,11
785,0,41.81,-0.819,4,0.676,11
786,1,56.54,0.654,3,-0.465,11
787,1,46.67,-0.333,3,-0.085,11
788,0,49.59,-0.041,4,0.475,11
789,1,63.45,1.345,4,0.982,11
790,0,44.64,-0.536,3,-0.473,11
791,0,32.36,-1.764,4,0.12,11
792,1,58.86,0.886,4,0.131,11
793,0,58.99,0.899,4,0.689,11
794,0,34.379999999999995,-1.562,3,-0.749,11
795,1,41.59,-0.841,4,0.473,11
796,1,51.08,0.108,4,0.832,11
797,0,46.61,-0.339,6,2.504,11
798,0,33.71,-1.629,4,0.382,11
799,1,66.28999999999999,1.629,6,2.634,11
800,0,43.65,-0.635,3,-0.979,11
801,1,63.4,1.34,5,1.864,11
802,0,39.7,-1.03,5,1.466,11
803,0,51.11,0.111,2,-1.444,11
804,0,28.31,-2.169,4,0.7,11
805,1,58.07,0.807,3,-0.229,11
806,1,49.24,-0.076,2,-1.315,11
807,1,48.7,-0.13,4,0.202,11
808,0,46.43,-0.357,4,0.188,11
809,0,39.29,-1.071,4,0.298,11
810,1,74.2,2.42,3,-0.091,11
811,1,65.92,1.592,4,0.081,11
812,1,41.7,-0.83,2,-1.106,11
813,0,47.55,-0.245,4,0.482,11
814,1,72.56,2.256,5,1.263,11
815,1,39.47,-1.053,3,-0.881,11
816,1,38.71,-1.129,5,1.353,11
817,0,56.67,0.667,5,1.108,11
818,1,58.29,0.829,3,-0.537,11
819,0,44.66,-0.534,4,0.044,11
820,1,39.44,-1.056,3,-0.403,11
821,1,60.54,1.054,4,0.482,11
822,0,55.66,0.566,3,-0.205,11
823,0,39.47,-1.053,3,-0.305,11
824,1,47.05,-0.295,2,-1.278,12
825,1,43.81,-0.619,3,-0.617,12
826,0,54.9,0.49,3,-0.166,12
827,0,35.25,-1.475,4,0.475,12
828,0,43.03,-0.697,4,0.575,12
829,1,44.43,-0.557,3,-0.823,12
830,1,46.6,-0.34,0,-3.162,12
831,1,72.82,2.282,4,0.812,12
832,0,48.05,-0.195,4,0.078,12
833,1,65.38,1.538,3,-0.839,12
834,0,68.26,1.826,3,-0.627,12
835,0,49.78,-0.022,4,0.297,12
836,0,58.26,0.826,3,-0.687,12
837,1,49.21,-0.079,3,-0.5,12
838,0,39.7,-1.03,4,0.997,12
839,1,55.629999999999995,0.563,2,-1.306,12
840,0,58.08,0.808,5,1.792,12
841,1,37.86,-1.214,2,-1.163,12
842,0,43.85,-0.615,4,0.822,12
843,0,58.53,0.853,3,-0.142,12
844,0,32.150000000000006,-1.785,4,0.86,12
845,0,42.01,-0.799,3,-0.01,12
846,1,57.480000000000004,0.748,4,0.048,12
847,1,66.28,1.628,4,0.235,12
848,0,52.72,0.272,4,0.609,12
849,0,65.99,1.599,4,0.701,12
850,0,39.74,-1.026,3,-0.938,12
851,1,41.71,-0.829,3,-0.286,12
852,0,36.42,-1.358,4,0.063,12
853,1,45.09,-0.491,2,-1.15,12
854,1,30.25,-1.975,2,-1.16,12
855,0,30.580000000000002,-1.942,4,0.034,12
856,0,64.15,1.415,4,0.162,12
857,1,60.24,1.024,4,0.308,12
858,1,41.68,-0.832,1,-2.535,12
859,1,39.11,-1.089,4,0.028,12
860,1,63.98,1.398,4,0.196,12
861,0,56.49,0.649,3,-0.476,12
862,0,58.5,0.85,4,0.311,12
863,1,54.99,0.499,3,-0.12,12
864,0,32.39,-1.761,5,1.675,12
865,0,45.39,-0.461,4,0.733,12
866,1,46.24,-0.376,1,-2.796,12
867,0,51.48,0.148,4,0.181,12
868,0,66.38,1.638,5,1.109,12
869,1,51.45,0.145,3,-0.603,12
870,1,51.69,0.169,2,-1.079,12
871,0,41.09,-0.891,4,0.455,12
872,0,48.15,-0.185,5,1.295,12
873,0,59.6,0.96,5,1.766,12
874,0,39.43,-1.057,4,0.104,12
875,1,51.03,0.103,1,-2.367,12
876,0,37.41,-1.259,3,-0.091,12
877,0,37.72,-1.228,5,1.244,12
878,1,59.4,0.94,2,-1.034,12
879,0,40.92,-0.908,3,-0.002,12
880,1,49.0,-0.1,4,0.449,12
881,0,50.82,0.082,3,-0.33,12
882,0,55.1,0.51,4,0.339,12
883,0,38.65,-1.135,5,1.494,12
884,1,44.1,-0.59,4,0.28,12
885,0,46.95,-0.305,3,-0.249,12
886,1,73.77,2.377,0,-3.57,12
887,0,60.44,1.044,5,1.095,12
888,0,57.35,0.735,5,1.348,12
889,1,39.95,-1.005,2,-1.77,12
890,0,56.870000000000005,0.687,4,0.295,12
891,1,46.88,-0.312,3,-0.14,12
892,1,51.01,0.101,3,-0.468,12
893,1,57.13,0.713,3,-0.174,12
894,0,57.39,0.739,3,-0.507,12
895,1,62.2,1.22,2,-1.971,12
896,1,61.31,1.131,2,-1.166,12
897,0,48.82,-0.118,3,-0.031,12
898,0,42.95,-0.705,4,0.456,12
899,0,50.0,0.0,4,0.425,12
900,0,24.62,-2.538,4,0.852,12
901,0,32.730000000000004,-1.727,5,1.187,13
902,0,40.19,-0.981,4,0.013,13
903,1,67.06,1.706,4,0.262,13
904,0,44.230000000000004,-0.577,3,-0.093,13
905,0,59.36,0.936,3,-0.178,13
906,1,53.59,0.359,5,1.098,13
907,1,51.22,0.122,3,-0.113,13
908,0,47.04,-0.296,3,-0.203,13
909,0,66.92,1.692,3,-0.603,13
910,0,44.66,-0.534,3,-0.904,13
911,1,47.55,-0.245,4,0.892,13
912,0,54.32,0.432,2,-1.49,13
913,0,51.18,0.118,3,-0.124,13
914,0,64.24,1.424,4,0.184,13
915,0,52.18,0.218,1,-2.342,13
916,0,61.25,1.125,3,-0.262,13
917,0,47.79,-0.221,2,-1.82,13
918,1,65.58,1.558,4,0.581,13
919,1,55.620000000000005,0.562,3,-0.063,13
920,1,59.35,0.935,4,0.97,13
921,0,52.12,0.212,3,-0.65,13
922,0,48.93,-0.107,4,0.305,13
923,0,47.74,-0.226,2,-1.057,13
924,0,52.46,0.246,3,-0.122,13
925,0,44.91,-0.509,3,-0.771,13
926,0,34.28,-1.572,3,-0.606,13
927,0,60.99,1.099,3,-0.614,13
928,1,36.6,-1.34,4,0.822,13
929,0,64.47,1.447,3,-0.457,13
930,0,46.69,-0.331,2,-1.18,13
931,0,44.01,-0.599,3,-0.604,13
932,0,43.03,-0.697,3,-0.624,13
933,0,59.15,0.915,4,0.956,13
934,1,47.72,-0.228,5,1.354,13
935,0,49.44,-0.056,4,0.667,13
936,1,62.019999999999996,1.202,4,0.398,13
937,1,57.43,0.743,5,1.072,13
938,1,48.35,-0.165,5,1.714,13
939,0,54.96,0.496,3,-0.943,13
940,0,45.89,-0.411,1,-2.152,13
941,0,49.92,-0.008,3,-0.159,13
942,0,62.56,1.256,4,0.542,13
943,0,51.96,0.196,2,-1.059,13
944,1,61.66,1.166,4,0.666,13
945,1,39.510000000000005,-1.049,5,1.513,13
946,0,56.47,0.647,3,-0.346,13
947,0,37.74,-1.226,3,-0.81,13
948,0,37.27,-1.273,2,-1.178,13
949,0,49.86,-0.014,4,0.174,13
950,0,57.61,0.761,3,-0.055,13
951,0,42.89,-0.711,3,-0.478,13
952,0,65.65,1.565,3,-0.552,13
953,0,64.82,1.482,3,-0.07,13
954,1,46.18,-0.382,5,1.205,13
955,0,42.6,-0.74,3,-0.069,13
956,1,44.230000000000004,-0.577,5,1.019,13
957,1,64.21000000000001,1.421,5,1.254,13
958,1,41.32,-0.868,6,2.992,13
959,0,70.28,2.028,2,-1.662,13
960,0,63.51,1.351,3,-0.091,13
961,0,63.5,1.35,2,-1.038,13
962,1,54.06,0.406,7,3.123,13
963,0,54.21,0.421,4,0.378,13
964,1,53.06,0.306,4,0.941,13
965,1,50.0,0.0,4,0.959,13
966,0,51.41,0.141,3,-0.607,13
967,0,45.72,-0.428,2,-1.191,13
968,0,46.76,-0.324,3,-0.612,13
969,1,45.36,-0.464,4,0.503,13
970,0,40.34,-0.966,2,-1.595,13
971,0,53.66,0.366,2,-1.792,13
972,0,41.93,-0.807,3,-0.247,13
973,1,41.3,-0.87,4,0.238,13
974,1,57.88,0.788,4,0.947,13
975,0,51.24,0.124,3,-0.262,13
976,0,51.69,0.169,4,0.087,13
977,0,61.1,1.11,2,-1.79,13
978,1,63.879999999999995,1.388,4,0.117,13
979,0,62.230000000000004,1.223,4,0.216,13
980,0,37.07,-1.293,4,0.037,13
981,0,36.55,-1.345,3,-0.71,13
982,1,53.94,0.394,3,-0.285,13
983,0,51.33,0.133,3,-0.776,13
984,0,49.03,-0.097,5,1.339,14
985,1,76.33,2.633,4,0.551,14
986,0,43.8,-0.62,3,-0.204,14
987,1,51.73,0.173,2,-1.2,14
988,0,47.24,-0.276,4,0.888,14
989,0,50.16,0.016,5,1.91,14
990,0,41.36,-0.864,4,0.598,14
991,0,47.02,-0.298,4,0.617,14
992,0,68.99000000000001,1.899,4,0.045,14
993,0,54.69,0.469,5,1.725,14
994,0,38.78,-1.122,4,0.853,14
995,0,39.17,-1.083,4,0.594,14
996,0,43.769999999999996,-0.623,4,0.371,14
997,0,58.33,0.833,4,0.068,14
998,1,52.730000000000004,0.273,2,-1.037,14
999,0,52.04,0.204,3,-0.085,14
1000,0,52.61,0.261,4,0.708,14
1001,0,39.08,-1.092,3,-0.368,14
1002,1,49.5,-0.05,4,0.031,14
1003,1,52.56,0.256,2,-1.137,14
1004,0,38.92,-1.108,4,0.754,14
1005,0,61.22,1.122,3,-0.637,14
1006,0,41.35,-0.865,4,0.473,14
1007,1,49.19,-0.081,3,-0.767,14
1008,0,27.3,-2.27,4,0.387,14
1009,0,47.4,-0.26,6,2.003,14
1010,1,39.78,-1.022,3,-0.339,14
1011,0,38.32,-1.168,5,1.05,14
1012,1,48.77,-0.123,4,0.076,14
1013,1,55.53,0.553,4,0.086,14
1014,1,39.45,-1.055,1,-2.255,14
1015,0,71.47,2.147,4,0.581,14
1016,0,40.65,-0.935,5,1.67,14
1017,0,39.28,-1.072,4,0.162,14
1018,0,40.36,-0.964,5,1.506,14
1019,1,38.52,-1.148,3,-0.69,14
1020,0,52.68,0.268,4,0.152,14
1021,1,44.51,-0.549,2,-1.926,14
1022,1,53.35,0.335,4,0.469,14
1023,0,54.26,0.426,5,1.224,14
1024,1,34.82,-1.518,4,0.345,14
1025,1,51.16,0.116,4,0.343,14
1026,0,44.01,-0.599,3,-0.977,14
1027,0,47.04,-0.296,3,-0.712,14
1028,1,82.28,3.228,5,1.165,14
1029,1,52.98,0.298,3,-0.233,14
1030,0,35.81,-1.419,4,0.533,14
1031,0,71.93,2.193,2,-1.688,14
1032,1,52.77,0.277,2,-1.864,14
1033,0,41.0,-0.9,3,-0.477,14
1034,0,38.57,-1.143,4,0.787,14
1035,0,66.7,1.67,4,0.069,14
1036,0,42.37,-0.763,5,1.043,14
1037,1,43.79,-0.621,2,-1.454,14
1038,1,49.52,-0.048,2,-1.679,14
1039,1,37.59,-1.241,3,-0.644,14
1040,1,71.23,2.123,3,-0.539,14
1041,0,51.68,0.168,3,-0.359,14
1042,1,54.81,0.481,3,-0.974,14
1043,1,55.74,0.574,3,-0.963,15
1044,1,67.50999999999999,1.751,5,1.531,15
1045,1,35.120000000000005,-1.488,4,0.515,15
1046,1,58.84,0.884,4,0.622,15
1047,1,53.04,0.304,5,1.258,15
1048,0,58.5,0.85,2,-1.093,15
1049,1,49.39,-0.061,4,0.857,15
1050,1,44.4,-0.56,3,-0.87,15
1051,1,65.62,1.562,6,2.156,15
1052,1,31.32,-1.868,3,-0.616,15
1053,0,47.43,-0.257,2,-1.112,15
1054,1,49.12,-0.088,4,0.523,15
1055,1,64.59,1.459,4,0.523,15
1056,1,61.43,1.143,3,-0.549,15
1057,1,53.24,0.324,4,0.001,15
1058,1,41.43,-0.857,4,0.205,15
1059,1,32.55,-1.745,3,-0.483,15
1060,1,52.86,0.286,5,1.312,15
1061,1,59.7,0.97,5,1.165,15
1062,1,60.28,1.028,4,0.584,15
1063,1,36.980000000000004,-1.302,3,-0.664,15
1064,1,50.99,0.099,4,0.634,15
1065,1,60.94,1.094,4,0.062,15
1066,1,55.39,0.539,3,-0.834,15
1067,1,57.39,0.739,3,-0.998,15
1068,1,51.07,0.107,4,0.753,15
1069,1,44.94,-0.506,4,0.28,15
1070,1,56.9,0.69,3,-0.096,15
1071,0,49.36,-0.064,2,-1.916,15
1072,1,54.61,0.461,5,1.117,15
1073,1,65.52,1.552,4,0.635,15
1074,1,56.99,0.699,4,0.036,15
1075,1,51.88,0.188,5,1.35,15
1076,0,44.2,-0.58,2,-1.554,15
1077,1,42.95,-0.705,5,1.232,15
1078,1,60.34,1.034,4,0.378,15
1079,1,56.33,0.633,3,-0.197,15
1080,1,33.269999999999996,-1.673,4,0.238,15
1081,0,44.44,-0.556,3,-0.182,15
1082,1,30.14,-1.986,3,-0.2,15
1083,1,52.71,0.271,5,1.156,15
1084,0,38.24,-1.176,2,-1.552,15
1085,1,35.629999999999995,-1.437,4,0.346,15
1086,1,51.84,0.184,5,1.649,15
1087,1,48.13,-0.187,3,-0.327,15
1088,1,48.38,-0.162,5,1.413,15
1089,1,65.22,1.522,4,0.344,15
1090,1,65.73,1.573,3,-0.566,15
1091,1,49.08,-0.092,4,0.702,15
1092,1,61.24,1.124,4,0.273,15
1093,1,49.97,-0.003,3,-0.092,15
1094,1,68.7,1.87,3,-0.339,15
1095,1,45.16,-0.484,6,2.156,15
1096,1,69.25,1.925,6,2.085,15
1097,1,33.9,-1.61,4,0.431,15
1098,1,52.95,0.295,4,0.412,15
1099,1,39.29,-1.071,4,0.07,15
1100,0,53.26,0.326,3,-0.027,15
1101,0,51.32,0.132,3,-0.16,15
1102,1,61.980000000000004,1.198,4,0.543,15
1103,1,44.32,-0.568,3,-0.951,15
1104,1,41.31,-0.869,4,0.047,15
1105,1,47.98,-0.202,4,0.906,15
1106,1,44.05,-0.595,3,-0.827,15
1107,1,61.55,1.155,3,-0.449,15
1108,1,65.73,1.573,3,-0.065,15
1109,1,59.96,0.996,4,0.359,15
1110,1,46.94,-0.306,4,0.151,15
1111,0,40.4,-0.96,4,0.114,15
1112,0,43.87,-0.613,3,-0.645,15
1113,1,48.97,-0.103,5,1.759,15
1114,1,42.41,-0.759,5,1.169,15
1115,1,42.94,-0.706,3,-0.228,15
1116,1,49.42,-0.058,3,-0.024,15
1117,1,60.92,1.092,5,1.091,15
1118,1,50.22,0.022,5,1.354,15
1119,1,46.43,-0.357,5,1.777,15
1120,1,48.78,-0.122,4,0.452,15
1121,1,40.980000000000004,-0.902,3,-0.325,15
1122,1,43.769999999999996,-0.623,4,0.514,15
1123,1,59.96,0.996,4,0.555,15
1124,1,42.24,-0.776,4,0.051,15
1125,1,55.33,0.533,4,0.599,15
1126,1,47.06,-0.294,3,-0.881,15
1127,1,44.67,-0.533,4,0.202,16
1128,1,36.91,-1.309,4,0.424,16
1129,1,44.980000000000004,-0.502,5,1.507,16
1130,1,44.09,-0.591,3,-0.311,16
1131,1,52.09,0.209,3,-0.702,16
1132,0,54.51,0.451,4,0.824,16
1133,1,50.2,0.02,3,-0.702,16
1134,1,57.62,0.762,4,0.711,16
1135,1,53.92,0.392,4,0.212,16
1136,0,41.519999999999996,-0.848,4,0.295,16
1137,1,56.29,0.629,3,-0.293,16
1138,1,60.17,1.017,3,-0.334,16
1139,1,61.7,1.17,2,-1.807,16
1140,1,48.0,-0.2,3,-0.454,16
1141,0,19.78,-3.022,5,1.459,16
1142,1,50.84,0.084,2,-1.126,16
1143,1,32.19,-1.781,3,-0.77,16
1144,1,40.24,-0.976,2,-1.958,16
1145,1,43.6,-0.64,5,1.2,16
1146,1,46.64,-0.336,2,-1.024,16
1147,1,52.79,0.279,3,-0.379,16
1148,0,35.56,-1.444,5,1.344,16
1149,1,44.769999999999996,-0.523,4,0.395,16
1150,1,54.87,0.487,1,-2.619,16
1151,1,40.07,-0.993,3,-0.281,16
1152,1,47.71,-0.229,3,-0.551,16
1153,1,24.5,-2.55,4,0.116,16
1154,1,55.31,0.531,3,-0.217,16
1155,0,44.79,-0.521,5,1.627,16
1156,1,58.55,0.855,3,-0.065,16
1157,1,67.16,1.716,3,-0.999,16
1158,1,38.32,-1.168,3,-0.804,16
1159,1,54.41,0.441,3,-0.946,16
1160,1,51.97,0.197,2,-1.335,16
1161,1,61.62,1.162,3,-0.731,16
1162,1,61.84,1.184,3,-0.02,16
1163,1,56.97,0.697,2,-1.265,16
1164,0,55.24,0.524,5,1.425,16
1165,1,46.93,-0.307,3,-0.501,16
1166,0,48.39,-0.161,5,1.075,16
1167,1,34.04,-1.596,1,-2.068,16
1168,0,54.52,0.452,4,0.812,16
1169,1,58.81,0.881,4,0.931,16
1170,0,42.74,-0.726,5,1.773,16
1171,1,43.05,-0.695,4,0.302,16
1172,1,65.49,1.549,2,-1.554,16
1173,1,42.85,-0.715,3,-0.697,16
1174,1,53.32,0.332,4,0.053,16
1175,0,45.46,-0.454,5,1.627,16
1176,0,41.59,-0.841,4,0.533,16
1177,1,49.03,-0.097,2,-1.182,16
1178,1,46.03,-0.397,3,-0.711,16
1179,0,51.89,0.189,5,1.761,16
1180,0,43.53,-0.647,5,1.668,16
1181,1,38.1,-1.19,4,0.16,16
1182,1,45.519999999999996,-0.448,5,1.103,16
1183,1,70.25999999999999,2.026,3,-0.257,16
1184,1,54.65,0.465,3,-0.021,16
1185,1,50.44,0.044,6,2.66,17
1186,1,42.55,-0.745,4,0.295,17
1187,1,63.31,1.331,5,1.415,17
1188,1,40.44,-0.956,3,-0.116,17
1189,1,59.56,0.956,3,-0.541,17
1190,1,49.03,-0.097,3,-0.284,17
1191,1,52.27,0.227,1,-2.465,17
1192,1,55.55,0.555,4,0.954,17
1193,1,47.59,-0.241,4,0.509,17
1194,0,49.64,-0.036,4,0.418,17
1195,1,57.91,0.791,3,-0.058,17
1196,1,51.38,0.138,2,-1.617,17
1197,1,62.84,1.284,4,0.838,17
1198,1,43.28,-0.672,3,-0.163,17
1199,1,34.63,-1.537,3,-0.65,17
1200,1,47.33,-0.267,5,1.652,17
1201,1,57.68,0.768,3,-0.318,17
1202,1,51.24,0.124,4,0.283,17
1203,1,40.04,-0.996,4,0.539,17
1204,1,38.93,-1.107,4,0.405,17
1205,1,33.980000000000004,-1.602,4,0.869,17
1206,1,52.65,0.265,3,-0.204,17
1207,1,39.8,-1.02,4,0.071,17
1208,1,53.2,0.32,3,-0.984,17
1209,1,51.64,0.164,2,-1.195,17
1210,1,46.11,-0.389,1,-2.438,17
1211,1,59.34,0.934,3,-0.714,17
1212,1,43.96,-0.604,3,-0.645,17
1213,1,61.39,1.139,3,-0.468,17
1214,1,54.63,0.463,3,-0.562,17
1215,1,53.23,0.323,4,0.721,17
1216,1,35.18,-1.482,5,1.365,17
1217,1,64.29,1.429,4,0.753,17
1218,1,44.67,-0.533,3,-0.826,17
1219,1,58.730000000000004,0.873,3,-0.744,17
1220,0,44.5,-0.55,4,0.303,17
1221,1,51.2,0.12,4,0.104,17
1222,1,44.27,-0.573,6,2.399,17
1223,1,59.8,0.98,2,-1.962,17
1224,1,52.32,0.232,3,-0.956,17
1225,1,45.31,-0.469,4,0.047,17
1226,1,40.730000000000004,-0.927,3,-0.043,17
1227,1,38.08,-1.192,3,-0.204,17
1228,1,51.86,0.186,4,0.685,17
1229,1,50.0,0.0,1,-2.527,17
1230,1,48.09,-0.191,4,0.779,17
1231,1,54.25,0.425,4,0.262,17
1232,1,58.6,0.86,4,0.149,17
1233,1,61.739999999999995,1.174,3,-0.475,17
1234,1,47.7,-0.23,3,-0.295,17
1235,1,51.62,0.162,3,-0.188,17
1236,0,50.01,0.001,6,2.13,17
1237,1,51.27,0.127,3,-0.436,17
1238,1,48.63,-0.137,4,0.676,17
1239,1,47.22,-0.278,5,1.211,17
1240,1,52.66,0.266,3,-0.663,17
1241,0,39.33,-1.067,4,0.314,17
1242,0,26.29,-2.371,3,-0.214,17
1243,1,24.48,-2.552,4,0.223,17
1244,0,42.07,-0.793,4,0.775,17
1245,0,42.03,-0.797,3,-0.831,17
1246,0,31.75,-1.825,5,1.351,17
1247,1,37.44,-1.256,2,-1.161,17
1248,1,54.6,0.46,4,0.191,17
1249,1,49.18,-0.082,5,1.826,17
1250,1,42.81,-0.719,4,0.28,17
1251,1,49.21,-0.079,3,-0.03,17
1252,1,49.26,-0.074,5,1.363,17
1253,1,54.18,0.418,4,0.567,18
1254,1,58.26,0.826,2,-1.785,18
1255,0,47.99,-0.201,5,1.932,18
1256,1,60.67,1.067,3,-0.131,18
1257,1,52.22,0.222,4,0.476,18
1258,0,32.09,-1.791,4,0.634,18
1259,1,39.08,-1.092,4,0.275,18
1260,0,46.21,-0.379,5,1.63,18
1261,0,58.04,0.804,5,1.356,18
1262,1,55.9,0.59,3,-0.156,18
1263,0,35.45,-1.455,3,-0.344,18
1264,0,48.99,-0.101,3,-0.167,18
1265,1,28.580000000000002,-2.142,2,-1.221,18
1266,0,47.94,-0.206,4,0.18,18
1267,0,41.01,-0.899,4,0.308,18
1268,0,61.21,1.121,5,1.267,18
1269,1,52.65,0.265,2,-1.884,18
1270,1,41.36,-0.864,3,-0.136,18
1271,0,25.67,-2.433,5,1.773,18
1272,0,47.54,-0.246,3,-0.066,18
1273,0,33.51,-1.649,5,1.408,18
1274,1,67.11,1.711,3,-0.445,18
1275,1,56.8,0.68,5,1.27,18
1276,1,44.21,-0.579,4,0.194,18
1277,1,35.5,-1.45,2,-1.19,18
1278,0,47.47,-0.253,5,1.505,18
1279,1,60.019999999999996,1.002,4,0.365,18
1280,1,74.07,2.407,4,0.405,18
1281,0,56.6,0.66,4,0.154,18
1282,1,55.92,0.592,4,0.103,18
1283,0,39.47,-1.053,4,0.428,18
1284,1,72.74000000000001,2.274,4,0.661,18
1285,0,50.87,0.087,4,0.598,18
1286,1,43.97,-0.603,4,0.778,18
1287,1,63.84,1.384,4,0.205,18
1288,0,46.67,-0.333,5,1.026,18
1289,1,58.120000000000005,0.812,2,-1.375,18
1290,1,51.77,0.177,2,-1.425,18
1291,1,73.57,2.357,3,-0.089,18
1292,1,52.46,0.246,5,1.509,18
1293,1,54.22,0.422,2,-1.713,18
1294,1,38.35,-1.165,3,-0.602,18
1295,1,53.96,0.396,4,0.533,18
